Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
137578690,-42.91069762,0.007152619441,45.97533128,-314.0246687,-0.1215690441,0.9861013374,-1.296834525,-1.296834525,-0.1253896825,0.9856676791,-0.761944055,-0.761944055,-49.02325568,0.003538646792,56.95967453,-303.0403255,
138066471,-43.1255802,0.006977839729,44.72344851,-315.2765515,-0.1208834083,0.9861791801,-1.290547383,-1.290547383,-0.1256409161,0.9856391697,-0.7864627915,-0.7864627915,-49.43939379,0.003373108495,53.76567435,-306.2343257,
138554252,-43.29126372,0.006845998723,43.26830494,-316.7316951,-0.1216630779,0.9860906618,-1.302203663,-1.302203663,-0.1252256336,0.9856862954,-0.7889683929,-0.7889683929,-49.83138465,0.003224265288,50.66779186,-309.3322081,
139042033,-43.43150773,0.006736349529,42.07896236,-317.9210376,-0.1225736286,0.9859872944,-1.310680341,-1.310680341,-0.1249389951,0.985718824,-0.8071972606,-0.8071972606,-50.16829633,0.003101595682,47.7127975,-312.2872025,
139529814,-43.7087144,0.006524756072,39.84990222,-320.1500978,-0.1223330524,0.986014604,-1.31989592,-1.31989592,-0.125922316,0.9856072381,-0.7995337088,-0.7995337088,-50.55044774,0.00296809374,43.79531093,-316.2046891,
140017595,-43.9302228,0.006360464893,38.91181505,-321.0881849,-0.1224363021,0.9860028832,-1.33954886,-1.33954886,-0.1252045476,0.9856886882,-0.8118641803,-0.8118641803,-51.16782372,0.002764450475,40.14827266,-319.8517273,
140505376,-44.25148201,0.006129511999,36.96122605,-323.0387739,-0.1210743753,0.9861574983,-1.34773508,-1.34773508,-0.1250783772,0.9857030064,-0.822401352,-0.822401352,-51.71858609,0.002594601684,36.39840126,-323.6015987,
140993157,-44.55710065,0.005917591305,35.51250908,-324.4874909,-0.1213538625,0.986125767,-1.358655253,-1.358655253,-0.123858604,0.9858414399,-0.8411072934,-0.8411072934,-52.25077369,0.002440401681,33.75940881,-326.2405912,
141480938,-44.83727228,0.005729759402,34.65410533,-325.3458947,-0.1210869899,0.9861560661,-1.363721951,-1.363721951,-0.1240555682,0.9858190849,-0.8403865323,-0.8403865323,-52.65685121,0.002328935385,29.28802739,-330.7119726,
141968719,-45.13507873,0.005536637161,32.67798332,-327.3220167,-0.1209593816,0.9861705542,-1.380389625,-1.380389625,-0.1236397079,0.9858662848,-0.8382119404,-0.8382119404,-53.05853437,0.002223685077,23.66347099,-336.336529,
142456500,-45.30982952,0.005426359017,31.55808333,-328.4419167,-0.1217621058,0.9860794195,-1.386937709,-1.386937709,-0.124067748,0.9858177025,-0.8628561714,-0.8628561714,-53.63210119,0.00208158879,22.27884208,-337.7211579,
142944281,-45.61176535,0.005240970712,30.29069029,-329.7093097,-0.1203250424,0.9862425779,-1.390780953,-1.390780953,-0.1243145094,0.9857896964,-0.8603462652,-0.8603462652,-53.58099026,0.002093873723,12.82247571,-347.1775243,
143432062,-45.9071146,0.005065756029,28.63365731,-331.3663427,-0.1210285,0.9861627068,-1.405445614,-1.405445614,-0.1236833309,0.9858613335,-0.8691737003,-0.8691737003,-53.83168436,0.002034303667,7.494969834,-352.5050302,
143919843,-46.29801998,0.004842827514,26.64152048,-333.3584795,-0.1198609308,0.986295277,-1.413877756,-1.413877756,-0.1237013639,0.9858592867,-0.8649796805,-0.8649796805,-54.08556625,0.001975703128,0.8625627284,-359.1374373,
144407624,-46.65328714,0.004648744132,24.29201066,-335.7079893,-0.1206004879,0.9862113028,-1.436549242,-1.436549242,-0.1241846942,0.9858044296,-0.8796684159,-0.8796684159,-53.98923841,0.001997735924,-4.731146873,-364.7311469,
144895405,-46.89107538,0.00452320458,23.55764917,-336.4423508,-0.1209438015,0.9861723231,-1.454509854,-1.454509854,-0.1233708622,0.9858967998,-0.9058829558,-0.9058829558,-54.15858611,0.00195916356,-9.833585843,-369.8335858,
145383186,-47.273051,0.004328599948,20.86607477,-339.1339252,-0.1213692174,0.9861240238,-1.452697256,-1.452697256,-0.1231744293,0.9859190962,-0.9108116736,-0.9108116736,-53.73398852,0.002057313965,-18.00751482,-378.0075148,
145870967,-47.64138519,0.004148878726,19.04071017,-340.9592898,-0.12126525,0.9861358274,-1.476573837,-1.476573837,-0.123745774,0.9858542461,-0.9166518874,-0.9166518874,-53.54782993,0.002101882836,-23.63737594,-383.6373759,
146358748,-47.97541508,0.003992355866,17.76041013,-342.2395899,-0.1214209726,0.9861181479,-1.487711145,-1.487711145,-0.1245665925,0.9857610871,-0.9349270586,-0.9349270586,-53.39991151,0.00213798387,-28.37275617,-388.3727562,
146846529,-48.33225139,0.003831664105,15.32767199,-344.672328,-0.1215870401,0.9860992943,-1.488863328,-1.488863328,-0.1239321627,0.9858330911,-0.9448667287,-0.9448667287,-53.06660827,0.002221619029,-34.8719861,-394.8719861,
147334310,-48.64609003,0.003695689692,12.89553127,-347.1044687,-0.1222124286,0.9860282972,-1.510859276,-1.510859276,-0.1240707281,0.9858173643,-0.9625713271,-0.9625713271,-52.72803704,0.002309926428,-38.58841145,-398.5884115,
147822091,-49.01175494,0.003543335318,10.775756,-349.224244,-0.122126278,0.9860380771,-1.525356936,-1.525356936,-0.124972537,0.9857150175,-0.9765910188,-0.9765910188,-52.39405604,0.00240047506,-44.07855687,-404.0785569,
148309872,-49.43672601,0.00337414467,6.509781268,-353.4902187,-0.1230999152,0.9859275542,-1.529607187,-1.529607187,-0.1249373967,0.9857190054,-0.9853604585,-0.9853604585,-51.86916852,0.002550008183,-47.22184929,-407.2218493,
148797653,-49.74809246,0.003255332671,2.895794862,-357.1042051,-0.1236994681,0.9858595019,-1.545192632,-1.545192632,-0.1249411308,0.9857185817,-0.987683867,-0.987683867,-51.28887212,0.002726191718,-51.65900689,-411.6590069,
149285434,-50.19032421,0.003093739835,-0.3359690529,-360.3359691,-0.1244669012,0.9857724011,-1.545953543,-1.545953543,-0.1259632053,0.9856025983,-0.9958577426,-0.9958577426,-50.84062357,0.002870574494,-56.36571414,-416.3657141,
149773216,-50.75846927,0.002897854236,-3.153473189,-363.1534732,-0.1239106022,0.9858355382,-1.548375716,-1.548375716,-0.1245379753,0.9857643348,-0.9942982724,-0.9942982724,-50.40030022,0.003019847341,-58.58447578,-418.5844758,
150260997,-51.18352067,0.002759459133,-7.073441215,-367.0734412,-0.1234604463,0.9858866315,-1.565690836,-1.565690836,-0.1252402331,0.9856846386,-1.000471592,-1.000471592,-50.00081328,0.003161981581,-61.18928067,-421.1892807,
150748778,-51.59262595,0.002632501957,-12.69890317,-372.6989032,-0.1236217441,0.9858683237,-1.553027789,-1.553027789,-0.1246477567,0.9857518758,-1.004177179,-1.004177179,-49.47815324,0.003358090051,-65.17444784,-425.1744478,
151236559,-51.96275164,0.002522681473,-18.36267691,-378.3626769,-0.1230442928,0.9859338679,-1.551989003,-1.551989003,-0.1235631748,0.9858749715,-0.9936502286,-0.9936502286,-49.20297029,0.003466182979,-68.16387985,-428.1638799,
151724340,-52.17689781,0.002461246488,-24.45123039,-384.4512304,-0.1220560863,0.9860460454,-1.54606694,-1.54606694,-0.123394243,0.9858941459,-1.000002026,-1.000002026,-48.7776368,0.003640140613,-70.65138006,-430.6513801,
152212121,-52.3307453,0.002418035846,-30.249466,-390.249466,-0.1217059313,0.9860857968,-1.543460239,-1.543460239,-0.1233589686,0.9858981498,-0.9950140885,-0.9950140885,-48.11160267,0.003930247198,-73.34245998,-433.34246,
152699902,-52.33750365,0.002416155145,-37.81924569,-397.8192457,-0.1229851848,0.9859405773,-1.553829715,-1.553829715,-0.1221775297,0.9860322589,-0.9957517087,-0.9957517087,-47.87160603,0.004040356608,-75.06362267,-435.0636227,
153187683,-52.64833641,0.002331219566,-42.8702026,-402.8702026,-0.1217578922,0.9860798978,-1.553384936,-1.553384936,-0.122707782,0.9859720659,-1.022727164,-1.022727164,-47.56949448,0.004183360352,-76.8355177,-436.8355177,
153675464,-52.81943448,0.002285747618,-49.14725625,-409.1472563,-0.1222804686,0.9860205733,-1.544531265,-1.544531265,-0.1227852449,0.9859632728,-1.031665267,-1.031665267,-47.13225323,0.004399338084,-79.2096913,-439.2096913,
154163245,-52.71642338,0.002313017034,-54.1542569,-414.1542569,-0.1220781088,0.9860435454,-1.551274148,-1.551274148,-0.1222308277,0.9860262085,-1.039611438,-1.039611438,-46.8904139,0.004523549062,-81.09674727,-441.0967473,
154651026,-52.69447465,0.002318869281,-61.82990787,-421.8299079,-0.1211511629,0.9861487802,-1.566811729,-1.566811729,-0.120749272,0.9861944097,-1.025471429,-1.025471429,-46.48590257,0.004739198194,-83.19206295,-443.1920629,
155138807,-52.45219245,0.002384461844,-67.82903685,-427.8290368,-0.1219566524,0.9860573335,-1.568309878,-1.568309878,-0.122926058,0.9859472888,-1.042630577,-1.042630577,-46.19702472,0.004899466176,-83.7849958,-443.7849958,
155626588,-52.34919588,0.002412904905,-72.61932357,-432.6193236,-0.1225710008,0.9859875927,-1.578002457,-1.578002457,-0.1226374733,0.985980047,-1.055504202,-1.055504202,-46.03743882,0.004990316134,-85.32733373,-445.3273337,
156114369,-52.14135474,0.00247133866,-78.19890568,-438.1989057,-0.1227634594,0.9859657458,-1.580290392,-1.580290392,-0.123738789,0.9858550389,-1.077438047,-1.077438047,-45.75185056,0.005157122792,-86.72359952,-446.7235995,
156602150,-52.02970799,0.002503309806,-82.51352857,-442.5135286,-0.122795051,0.9859621597,-1.592055631,-1.592055631,-0.1225101382,0.9859945016,-1.095588514,-1.095588514,-45.40961174,0.005364378494,-88.59034284,-448.5903428,
157089931,-51.57921676,0.002636569124,-88.74469054,-448.7446905,-0.1228959189,0.9859507099,-1.599248477,-1.599248477,-0.1244616992,0.9857729915,-1.119424189,-1.119424189,-45.26761846,0.005452793824,-89.97855126,-449.9785513,
157577712,-51.12989026,0.002776549927,-92.17802843,-452.1780284,-0.1237143627,0.9858578113,-1.606234746,-1.606234746,-0.1256212223,0.9856414045,-1.086538257,-1.086538257,-45.0167863,0.005612555974,-90.7089153,-450.7089153,
158065493,-50.95991546,0.002831419555,-95.89316489,-455.8931649,-0.1256906582,0.9856335252,-1.622136627,-1.622136627,-0.1248362631,0.9857304826,-1.135477053,-1.135477053,-45.01861958,0.005611371487,-92.12448837,-452.1244884,
158553274,-50.59591314,0.002952598146,-98.8674094,-458.8674094,-0.1271771048,0.9854648647,-1.645610607,-1.645610607,-0.1270940449,0.9854742884,-1.154927412,-1.154927412,-44.79682359,0.005756504127,-92.60375583,-452.6037558,
159041055,-50.35338859,0.003036201361,-103.0629867,-463.0629867,-0.1264511912,0.9855472273,-1.660461435,-1.660461435,-0.1266819563,0.9855210438,-1.171123132,-1.171123132,-44.76431748,0.005778087654,-94.0302402,-454.0302402,
