Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Unwrapped Phase,
4920018000,-21.7104546,0.08212535694,-554.7891861,-40.96646526,0.008946985576,16398.3803,-47.85095112,0.004049975949,16083.02578,-25.6123289,0.05240630681,-553.8927042,
4932017800,-21.75388643,0.08171573262,-564.3527315,-40.85607709,0.009061417604,16436.19751,-47.7831468,0.004081714836,16123.8883,-23.91512617,0.06371529404,-586.2719387,
4944017600,-20.91163323,0.09003644493,-573.2106069,-40.88441499,0.009031902702,16472.22285,-47.73389278,0.004104926268,16163.81944,-20.61153909,0.09320153076,-595.9259622,
4956017400,-20.0675004,0.09922588471,-576.4971005,-41.43903743,0.008473213086,16509.0421,-48.06502538,0.003951379395,16203.98224,-18.79189229,0.1149225848,-585.6810878,
4968017200,-18.81902147,0.1145642,-572.6163076,-42.57100651,0.007437888682,16544.96801,-48.79774289,0.003631724161,16245.11462,-17.01377985,0.1410298382,-573.3773661,
4980017000,-18.97690298,0.1125006031,-569.0089801,-43.73719694,0.006503395301,16583.75112,-49.60532437,0.003309282032,16288.9516,-16.60198606,0.1478770223,-560.2279172,
4992016800,-18.89469799,0.1135703856,-555.8050736,-44.62215564,0.005873435689,16625.36626,-50.07840227,0.003133862132,16334.65839,-17.66164097,0.1308934612,-547.696841,
5004016600,-19.94905674,0.1005882293,-551.4490835,-45.68488479,0.005197036425,16668.38325,-50.32948184,0.003044569608,16382.60178,-20.01253982,0.09985573413,-536.4796014,
5016016400,-21.65130094,0.0826865654,-555.3598807,-46.51499167,0.004723353139,16712.14329,-50.48492178,0.002990569579,16429.02559,-23.78430473,0.06468219708,-540.1207043,
5028016200,-23.20737967,0.069124343,-567.7426889,-47.05115932,0.004440603882,16753.36486,-50.55838216,0.002965383674,16472.46285,-26.36031117,0.04808221228,-581.1415246,
5040016000,-22.95438429,0.07116734852,-580.4285571,-47.6797506,0.00413059362,16793.81107,-50.58683319,0.002955686312,16516.01734,-22.69550901,0.0733203534,-605.7963107,
5052015800,-20.69116023,0.09235108212,-581.6368456,-49.06270375,0.003522612018,16834.49823,-50.90600613,0.002849047523,16559.34686,-19.48406305,0.1061199038,-599.8407671,
5064015600,-19.32975864,0.1080219637,-581.1838355,-50.9371544,0.002838848918,16876.87205,-51.60505478,0.002628737745,16602.94492,-17.49560794,0.1334195903,-588.9513704,
5076015400,-18.97565722,0.1125167395,-575.0361674,-52.58770154,0.00234755039,16920.83673,-52.31544985,0.002422297647,16648.7675,-17.07096684,0.1401043623,-573.6371076,
5088015200,-18.9001825,0.1134986969,-564.3149366,-53.61317775,0.00208612877,16969.19135,-52.74035686,0.002306652418,16696.05605,-17.32176073,0.136116873,-559.9312428,
5100015000,-19.72793915,0.1031817864,-559.027437,-54.95732966,0.001787036887,17020.81501,-53.15509473,0.002199101444,16745.82227,-19.84620412,0.1017864093,-552.3096736,
5112014800,-21.42878881,0.08483216667,-557.7198075,-55.62995161,0.001653873999,17073.70729,-53.35278621,0.002149615028,16794.57424,-23.64324664,0.06574120616,-545.2184463,
5124014600,-22.47113117,0.07523907395,-560.0741614,-55.31057766,0.001715817594,17124.3851,-53.29187263,0.002164743121,16842.7376,-26.57749855,0.0468948415,-560.3600686,
5136014400,-22.30263394,0.07671288271,-569.0864077,-54.28472483,0.001930917677,17169.8247,-53.0201521,0.002233533109,16888.83072,-23.9741882,0.0632835145,-595.950193,
5148014200,-21.63608879,0.0828315066,-577.6974258,-53.99278746,0.001996919818,17212.49917,-53.08539798,0.002216818315,16934.45955,-21.07292346,0.08837996534,-606.3540151,
5160014000,-21.18853395,0.08721140891,-577.5062123,-53.7963537,0.002042595239,17253.99739,-53.54058425,0.002103636936,16979.7856,-19.19444953,0.1097179093,-599.5116855,
5172013800,-20.37793297,0.09574218874,-577.5456672,-53.89396324,0.002019769632,17295.25311,-54.0080844,0.001993406087,17025.20227,-17.982515,0.1261462226,-587.5138917,
5184013600,-19.8704711,0.1015024313,-572.3852572,-53.77776833,0.002046970499,17336.86793,-54.45950282,0.00189245194,17072.33363,-17.7981276,0.1288527287,-573.2384961,
