Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
11731182,-35.86272767,0.01610139915,-157.3159486,-877.3159486,-2.253754807,0.7714579513,49.3285871,-1030.671413,-2.25213901,0.7716014755,49.49162753,-1030.508372,-40.58775613,0.009345707692,-151.2317221,-1591.231722,
12218963,-40.29628257,0.009664644231,175.2185922,-904.7814078,-2.288160429,0.7684081784,6.746006292,-1073.253994,-2.2843227,0.768747763,6.904496652,-1073.095503,-52.89198641,0.002266734631,-146.2739075,-1586.273907,
12706744,-43.90829605,0.006376541601,-125.6667746,-845.6667746,-2.335588535,0.7642238256,-35.88762826,-1115.887628,-2.335973373,0.7641899666,-35.73762722,-1115.737627,-41.81630318,0.008113062859,-87.21594067,-1527.215941,
13194525,-35.5054929,0.01677742689,-131.3711265,-851.3711265,-2.39275317,0.7592107371,-78.38992367,-1158.389924,-2.398414212,0.7587160817,-78.24306407,-1158.243064,-37.60494494,0.01317506459,-126.7496975,-1566.749698,
13682306,-33.08869302,0.02215977513,-165.4368606,-885.4368606,-2.440062847,0.7550867642,-120.8424382,-1200.842438,-2.443914633,0.7547519928,-120.6468971,-1200.646897,-38.28423414,0.01218395518,-177.7429887,-1617.742989,
14170087,-34.62225428,0.01857322354,160.3093795,-919.6906205,-2.475142617,0.7520433393,-163.3940455,-1243.394046,-2.47395732,0.7521459719,-163.1675422,-1243.167542,-44.38422833,0.00603654696,104.3610115,-1695.638988,
14657869,-41.03989904,0.008871663239,142.9635437,-937.0364563,-2.517450832,0.7483891084,154.0175674,-1285.982433,-2.515950257,0.7485184113,154.2179766,-1285.782023,-41.56899484,0.008347381414,-27.94198162,-1827.941982,
15145650,-42.28183171,0.007689682601,-157.6580791,-877.6580791,-2.568797001,0.743978097,111.5205296,-1328.47947,-2.575064195,0.7434414826,111.7069543,-1328.293046,-36.36829706,0.01519095744,-90.94877145,-1890.948771,
15633431,-36.71757832,0.01459221044,-175.5413852,-895.5413852,-2.61716954,0.7398463286,69.09390817,-1370.906092,-2.619188341,0.7396743912,69.33491507,-1370.665085,-35.59626334,0.01660301014,-142.2197836,-1942.219784,
16121212,-37.12571099,0.01392241101,147.5978399,-932.4021601,-2.650049548,0.7370509709,26.5944153,-1413.405585,-2.64715395,0.7372967211,26.82092581,-1413.179074,-39.29223507,0.01084896346,168.8822906,-1991.117709,
16608993,-44.59450428,0.005892163454,105.8441573,-974.1558427,-2.685325816,0.7340636337,-15.97949595,-1455.979496,-2.686120861,0.7339964458,-15.7688355,-1455.768835,-55.62047378,0.00165567965,91.60818452,-2068.391815,
17096774,-45.78424682,0.005137923798,-97.60505217,-817.6050522,-2.735426345,0.7298417156,-58.47236441,-1498.472364,-2.7392935,0.7295168458,-58.26628225,-1498.266282,-42.41891751,0.007569272218,-83.80040415,-1883.800404,
17584555,-37.76301746,0.01293746319,-142.8605888,-862.8605888,-2.780910581,0.7260298405,-100.8903406,-1540.890341,-2.784807636,0.7257041693,-100.6408007,-1540.640801,-38.94715822,0.0112886521,-131.3227902,-1931.32279,
18072336,-37.60379842,0.01317680378,-179.9838588,-899.9838588,-2.812601474,0.7233857117,-143.3621448,-1583.362145,-2.810844343,0.7235320654,-143.1232223,-1583.123222,-42.24590838,0.007721551656,-171.1338554,-1971.133855,
18560117,-43.34688988,0.006802295683,163.2955082,-916.7044918,-2.845735822,0.7206314452,174.0693258,-1625.930674,-2.843705472,0.7207999144,174.3141131,-1625.685887,-54.15284649,0.001960458601,-111.4543176,-1911.454318,
19047898,-42.76330747,0.007275027287,-132.3401036,-852.3401036,-2.890203836,0.7169515503,131.5710706,-1668.428929,-2.893653296,0.7166668812,131.8063478,-1668.193652,-40.31109942,0.009648171824,-97.27527286,-1897.275273,
19535679,-36.30680386,0.01529888595,-150.8760994,-870.8760994,-2.936702584,0.7131237012,89.159777,-1710.840223,-2.937542527,0.7130547441,89.42937221,-1710.570628,-36.75237955,0.01453386167,-137.1777744,-1937.177774,
20023460,-35.54086887,0.0167092346,175.9135441,-904.0864559,-2.96871104,0.7105005983,46.71546102,-1753.284539,-2.963400542,0.7109351267,46.99951634,-1753.000484,-38.2637487,0.01221272463,-178.2420728,-1978.242073,
20511241,-39.55892483,0.01052092097,148.087489,-931.912511,-2.999260851,0.7080060315,4.174281818,-1795.825718,-2.994148913,0.7084228395,4.437983147,-1795.562017,-47.79168158,0.004077706099,149.2128475,-2010.787153,
20999022,-47.70250175,0.00411978842,-157.7960956,-877.7960956,-3.039380121,0.704743362,-38.32666155,-1838.326662,-3.039477298,0.7047354775,-38.07084938,-1838.070849,-44.44193422,0.005996575264,-92.23266737,-1892.232667,
21486803,-37.80819021,0.01287035392,-147.647893,-867.647893,-3.084135983,0.7011213641,-80.74299306,-1880.742993,-3.083848014,0.7011446093,-80.44476213,-1880.444762,-37.48741649,0.01335454745,-130.8784923,-1930.878492,
21974584,-35.54991472,0.01669184195,179.2527283,-900.7472717,-3.115624184,0.6985842513,-123.173105,-1923.173105,-3.111334069,0.6989293797,-122.8628802,-1922.86288,-37.14972456,0.01388397337,-172.6412054,-1972.641205,
22462365,-38.22982024,0.01226052276,146.5040155,-933.4959845,-3.143543459,0.6963423792,-165.6936401,-1965.69364,-3.136309669,0.6969225493,-165.3799136,-1965.379914,-42.20284553,0.007759928571,148.7298268,-2011.270173,
22950146,-51.3295358,0.002713458665,159.0294642,-920.9705358,-3.180224061,0.6934079186,151.8265285,-2008.173472,-3.178089261,0.693578364,152.1100321,-2007.889968,-54.85109461,0.00180902792,-100.0459145,-1900.045915,
23437927,-39.49932907,0.01059335549,-134.9831183,-854.9831183,-3.222819572,0.6900157779,109.4237368,-2050.576263,-3.223845911,0.6899342493,109.7191772,-2050.280823,-40.05840277,0.009932986874,-125.2290485,-1925.229048,
23925708,-35.49886075,0.01679024225,-168.0142178,-888.0142178,-3.257525922,0.6872641716,66.99790064,-2093.002099,-3.251244333,0.6877613772,67.33082226,-2092.669178,-38.00741547,0.01257851078,-168.2853948,-1968.285395,
24413489,-36.63636015,0.01472929608,158.8632219,-921.1367781,-3.281384131,0.6853789999,24.52337228,-2135.476628,-3.274765503,0.6859014561,24.83938115,-2135.160619,-41.37726093,0.008533691787,149.1344759,-2010.865524,
24901270,-44.15704252,0.006196520262,142.6832123,-937.3167877,-3.314691867,0.6827558133,-17.96410471,-2177.964105,-3.313682839,0.6828351328,-17.6673628,-2177.667363,-65.16268749,0.0005519066482,41.78445667,-2118.215543,
25389051,-43.61910729,0.006592416466,-140.0987741,-860.0987741,-3.354860696,0.6796056256,-60.61009419,-2220.610094,-3.351447725,0.6798727175,-60.47610134,-2220.476101,-42.86331525,0.007191744296,-105.6464209,-2265.646421,
25876832,-36.46069207,0.01503022204,-161.9588605,-881.9588605,-3.389585798,0.676894071,-103.0179121,-2263.017912,-3.380213846,0.6776248243,-102.850828,-2262.850828,-38.35685436,0.0120825133,-155.1154155,-2315.115415,
26364613,-35.89687676,0.01603821984,165.8205973,-914.1794027,-3.4112222,0.6752100378,-145.4981445,-2305.498144,-3.400855277,0.6760164066,-145.3123537,-2305.312354,-39.84173438,0.01018388019,160.4561078,-2359.543892,
26852394,-40.27333202,0.00969021469,141.2788525,-938.7211475,-3.442051751,0.6728177068,172.0278807,-2347.972119,-3.434185744,0.6734272915,172.1879482,-2347.812052,-50.9365759,0.002839037997,103.7379136,-2416.262086,
27340175,-45.47976406,0.005321227132,-161.6232936,-881.6232936,-3.484657493,0.6695255044,129.6304358,-2390.369564,-3.477670045,0.6700643274,129.8013115,-2390.198689,-43.42551882,0.006740995841,-93.99322675,-2253.993227,
27827956,-37.39072298,0.0135040442,-162.7769108,-882.7769108,-3.520328421,0.6667815571,87.2486996,-2432.7513,-3.50909379,0.6676445536,87.45820161,-2432.541798,-37.66014056,0.01309160738,-142.3753759,-2302.375376,
28315738,-35.86750585,0.01609254408,166.8106354,-913.1893646,-3.543440511,0.6650096914,44.80341913,-2475.196581,-3.529613616,0.6660691501,45.03038337,-2474.969617,-37.93026097,0.01269074015,175.0325164,-2344.967484,
