Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
439515151,-32.86074961,0.02274901093,90.28075991,-629.7192401,-55.20357955,0.001737084809,-22.38875157,-74542.38875,-55.28124963,0.001721620868,-20.22984619,-74540.22985,-33.5764707,0.02094963521,106.2715172,-253.7284828,
440002932,-32.65716284,0.02328851829,90.5206123,-629.4793877,-55.39383876,0.001699448711,-107.7511474,-74627.75115,-55.51677717,0.001675564466,-106.2322419,-74626.23224,-33.48930743,0.02116092404,105.8492358,-254.1507642,
440490713,-32.46808652,0.02380102574,90.42714575,-629.5728543,-55.26401376,0.001725040564,167.7596304,-74712.24037,-55.34179556,0.001709661855,168.867128,-74711.13287,-33.38752672,0.02141034492,105.156423,-254.843577,
440978494,-32.26202067,0.02437243757,90.07890477,-629.9210952,-55.0475811,0.00176856467,85.43096024,-74794.56904,-55.09612655,0.001758707731,87.14360947,-74792.85639,-33.32529275,0.02156429988,104.1288999,-255.8711001,
441466275,-32.04154328,0.02499901148,89.22384811,-630.7761519,-55.12078902,0.001753721188,4.572597155,-74875.4274,-55.16076624,0.00174566815,6.378733275,-74873.62127,-33.39078361,0.02140231833,102.9780384,-257.0219616,
441954056,-31.87603269,0.02547993793,87.88132238,-632.1186776,-55.46796764,0.001685006645,-78.13823142,-74958.13823,-55.57487936,0.00166439358,-76.07887103,-74956.07887,-33.55373296,0.02100454856,102.7092292,-257.2907708,
442441837,-31.80082211,0.02570152508,86.29488843,-633.7051116,-55.66073592,0.001648022755,-163.3368574,-75043.33686,-55.80060672,0.001621696816,-162.0784069,-75042.07841,-33.69367784,0.02066884023,103.6610193,-256.3389807,
442929618,-31.78088412,0.02576058931,84.69726272,-635.3027373,-55.43471333,0.001691470133,111.0917521,-75128.90825,-55.46598481,0.001685391345,112.6816558,-75127.31834,-33.63603443,0.02080646395,105.25636,-254.74364,
443417399,-31.81782323,0.02565126801,83.27105906,-636.7289409,-54.97892108,0.00178260018,29.81695652,-75210.18304,-55.03145341,0.001771851536,31.87850298,-75208.1215,-33.42206906,0.02132536861,106.3194921,-253.6805079,
443905180,-31.88743189,0.02544652046,82.04876076,-637.9512392,-55.07042336,0.001763919788,-48.83328947,-75288.83329,-55.16165958,0.001745488616,-47.0633846,-75287.06338,-33.1472844,0.0220107976,106.4390376,-253.5609624,
